superhero,Please list all the superpowers of 3-D Man.,3-D Man refers to superhero_name = '3-D Man'; superpowers refers to power_name,SELECT T3.power_name FROM superhero AS T1 INNER JOIN hero_power AS T2 ON T1.id = T2.hero_id INNER JOIN superpower AS T3 ON T2.power_id = T3.id WHERE T1.superhero_name = '3-D Man',simple,"SELECT llm_hero_2_power.power_name
    FROM superhero JOIN llm_hero_2_power ON superhero.superhero_name = llm_hero_2_power.superhero_name
    JOIN superpower ON llm_hero_2_power.power_name = superpower.power_name
    WHERE superhero.superhero_name = '3-D Man'
"
superhero,"How many superheroes have the super power of ""Super Strength""?","super power of ""Super Strength"" refers to power_name = 'Super Strength'","SELECT COUNT(DISTINCT T1.hero_id) 
    FROM hero_power AS T1 INNER JOIN superpower AS T2 ON T1.power_id = T2.id
    JOIN superhero AS T3 ON T3.id = T1.hero_id
    WHERE T2.power_name = 'Super Strength'",simple,"SELECT COUNT(T1.superhero_name) 
    FROM superhero AS T1 INNER JOIN llm_hero_2_power AS T2 ON T1.superhero_name = T2.superhero_name
    WHERE T2.power_name = 'Super Strength'"
superhero,"Among the superheroes with the super power of ""Super Strength"", how many of them have a height of over 200cm?","super power of ""Super Strength"" refers to power_name = 'Super Strength'; a height of over 200cm refers to height_cm > 200",SELECT COUNT(T1.id) FROM superhero AS T1 INNER JOIN hero_power AS T2 ON T1.id = T2.hero_id INNER JOIN superpower AS T3 ON T2.power_id = T3.id WHERE T3.power_name = 'Super Strength' AND T1.height_cm > 200,moderate,"SELECT COUNT(T1.id) 
    FROM superhero AS T1 INNER JOIN llm_hero_2_power AS T2 ON T1.superhero_name = T2.superhero_name
    WHERE T2.power_name = 'Super Strength' AND T1.height_cm > 200"
superhero,How many superheroes have blue eyes?,blue eyes refers to colour = 'Blue' and eye_colour_id = colour.id;,SELECT COUNT(T1.id) FROM superhero AS T1 INNER JOIN colour AS T2 ON T1.eye_colour_id = T2.id WHERE T2.colour = 'Blue',simple,"SELECT COUNT(T1.id) 
    FROM superhero AS T1 INNER JOIN llm ON T1.superhero_name = llm.superhero_name
    where llm.eye_color = 'Blue'"
superhero,Please list the full names of all the superheroes with over 15 super powers.,15 super powers refers to COUNT(full_name) > 15,SELECT DISTINCT T1.full_name FROM superhero AS T1 INNER JOIN hero_power AS T2 ON T1.id = T2.hero_id GROUP BY T1.full_name HAVING COUNT(T2.power_id) > 15,simple,"SELECT DISTINCT T1.full_name 
    FROM superhero AS T1 INNER JOIN llm_hero_2_power AS T2 ON T1.superhero_name = T2.superhero_name
    GROUP BY T1.full_name 
    HAVING COUNT(T2.power_name) > 15"
superhero,What is the colour of Apocalypse's skin?,Apocalypse refers to superhero_name = 'Apocalypse'; colour of skin refers to colour where skin_colour_id = colour.id,SELECT T2.colour FROM superhero AS T1 INNER JOIN colour AS T2 ON T1.skin_colour_id = T2.id WHERE T1.superhero_name = 'Apocalypse',simple,"SELECT llm.skin_color 
    FROM superhero AS T1 JOIN llm ON T1.superhero_name = llm.superhero_name
    WHERE T1.superhero_name = 'Apocalypse'"
superhero,How many superheroes are published by Marvel Comics?,published by Marvel Comics refers to publisher_name = 'Marvel Comics',SELECT COUNT(T1.id) FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id WHERE T2.publisher_name = 'Marvel Comics',simple,"SELECT COUNT(T1.id) 
    FROM superhero AS T1 INNER JOIN llm ON T1.superhero_name = llm.superhero_name
    WHERE llm.publisher_name = 'Marvel Comics'"
superhero,"Among the superheroes with blue eyes, how many of them have the super power of ""Agility""?","blue eyes refers to colour = 'Blue' and eye_colour_id = colour.id; super power of ""Agility"" refers to power_name = 'Agility'",SELECT COUNT(T1.id) FROM superhero AS T1 INNER JOIN hero_power AS T2 ON T1.id = T2.hero_id INNER JOIN superpower AS T3 ON T2.power_id = T3.id INNER JOIN colour AS T4 ON T1.eye_colour_id = T4.id WHERE T3.power_name = 'Agility' AND T4.colour = 'Blue',moderate,"SELECT COUNT(T1.id) 
    FROM superhero AS T1 INNER JOIN llm_hero_2_power AS T2 ON T1.superhero_name = T2.superhero_name
    JOIN llm AS T3 ON T1.superhero_name = T3.superhero_name
    WHERE T2.power_name = 'Agility' AND T3.eye_color = 'Blue'"
superhero,Please list the superhero names of all the superheroes that have blue eyes and blond hair.,"blue eyes refers to colour = 'Blue' and eye_colour_id = colour.id; blond hair refers to colour = 'Blond' and hair_colour_id = colour.id; super power of ""Agility"" refers to power_name = 'Agility'",SELECT T1.superhero_name FROM superhero AS T1 INNER JOIN colour AS T2 ON T1.eye_colour_id = T2.id INNER JOIN colour AS T3 ON T1.hair_colour_id = T3.id WHERE T2.colour = 'Blue' AND T3.colour = 'Blond',challenging,"
SELECT T1.superhero_name 
    FROM superhero AS T1 INNER JOIN llm AS T2 ON T1.superhero_name = T2.superhero_name 
    WHERE T2.eye_color = 'Blue' AND T2.hair_color = 'Blond'
"
superhero,What is the publisher's name of Blue Beetle II?,Blue Beetle II refers to superhero_name = 'Blue Beetle II',SELECT T2.publisher_name FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id WHERE T1.superhero_name = 'Blue Beetle II',simple,"SELECT T2.publisher_name 
    FROM superhero AS T1 INNER JOIN llm AS T2 ON T1.superhero_name = T2.superhero_name
    WHERE T1.superhero_name = 'Blue Beetle II'"
superhero,Please give the full name of the tallest hero published by Marvel Comics.,the tallest hero refers to MAX(height_cm); published by Marvel Comics refers to publisher_name = 'Marvel Comics',SELECT T1.full_name FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id WHERE T2.publisher_name = 'Marvel Comics' ORDER BY T1.height_cm DESC LIMIT 1,moderate,"SELECT T1.full_name 
    FROM superhero AS T1 INNER JOIN llm ON T1.superhero_name = llm.superhero_name
    WHERE llm.publisher_name = 'Marvel Comics' 
    ORDER BY T1.height_cm DESC LIMIT 1"
superhero,Who is the publisher of Sauron?,the publisher refers to publisher_name; Sauron refers to superhero_name = 'Sauron',SELECT T2.publisher_name FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id WHERE T1.superhero_name = 'Sauron',simple,"SELECT llm.publisher_name 
    FROM superhero AS T1 INNER JOIN llm ON T1.superhero_name = llm.superhero_name 
    JOIN publisher ON publisher.publisher_name = llm.publisher_name
    WHERE T1.superhero_name = 'Sauron'
"
superhero,"Among the superheroes from Marvel Comics, how many of them have blue eyes?",the superheroes from Marvel Comics refers to publisher_name = 'Marvel Comics'; blue eyes refers to colour = 'Blue' and eye_colour_id = colour.id,SELECT COUNT(T1.id) FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id INNER JOIN colour AS T3 ON T1.eye_colour_id = T3.id WHERE T2.publisher_name = 'Marvel Comics' AND T3.colour = 'Blue',moderate,"SELECT COUNT(T1.id) 
    FROM superhero AS T1 INNER JOIN llm AS T2 ON T1.superhero_name = T2.superhero_name
    WHERE T2.publisher_name = 'Marvel Comics' AND T2.eye_color = 'Blue'
"
superhero,What is the average height of the superheroes from Marvel Comics?,superheroes from Marvel Comics refers to publisher_name = 'Marvel Comics'; average height of the superheroes refers to AVG(height_cm),SELECT AVG(T1.height_cm) FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id WHERE T2.publisher_name = 'Marvel Comics',simple,"SELECT AVG(T1.height_cm) 
    FROM superhero AS T1 INNER JOIN llm AS T2 ON T1.superhero_name = T2.superhero_name
    WHERE T2.publisher_name = 'Marvel Comics'"
